Record_ID,Hour_of_Day,Road_Type,Weather,Traffic_Density,Speed_Limit,Reported_Severity,NLP_Risk_Flag,Corrected_Severity
86,11,Highway,Rain,55,100,0,0,0
87,9,Rural,Clear,83,60,0,0,0
88,6,Highway,Rain,31,100,1,1,1
89,14,Highway,Clear,52,100,0,0,0
90,6,Highway,Fog,38,100,0,0,0
91,8,Highway,Rain,79,100,0,0,0
92,15,Rural,Rain,27,60,0,0,0
93,0,Highway,Clear,45,100,0,0,0
94,15,Urban,Clear,22,40,0,0,0
95,10,Rural,Clear,76,60,0,0,0
96,12,Rural,Snow,43,60,0,0,0
97,20,Rural,Clear,25,60,0,0,0
98,14,Rural,Clear,45,60,0,0,0
99,5,Highway,Snow,50,100,1,1,1
100,5,Urban,Clear,23,40,0,0,0
101,7,Rural,Clear,25,60,0,0,0
102,4,Rural,Clear,35,60,0,0,0
103,17,Rural,Clear,69,60,0,0,0
104,10,Rural,Clear,83,60,0,0,0
105,6,Rural,Rain,37,60,0,0,0
106,5,Highway,Rain,57,100,0,0,0
107,2,Urban,Rain,21,40,0,0,0
108,4,Highway,Clear,46,100,0,0,0
109,18,Rural,Clear,77,60,0,0,0
110,12,Rural,Rain,41,60,0,0,0
111,3,Urban,Rain,21,40,0,0,0
112,6,Highway,Clear,55,100,0,0,0
113,20,Highway,Clear,51,100,0,0,0
114,1,Rural,Clear,24,60,0,0,0
115,15,Urban,Clear,30,40,0,0,0
116,19,Urban,Clear,85,40,0,0,0
117,3,Highway,Clear,51,100,0,0,0
118,3,Highway,Clear,36,100,0,0,0
119,1,Highway,Clear,47,100,0,0,0
120,12,Urban,Clear,42,40,0,0,0
121,10,Rural,Clear,79,60,0,0,0
122,12,Highway,Clear,60,100,0,0,0
123,3,Urban,Fog,22,40,0,0,0
124,17,Highway,Clear,99,100,0,0,0
125,2,Urban,Clear,44,40,0,0,0
126,5,Urban,Clear,24,40,0,0,0
127,14,Rural,Snow,31,60,0,0,0
128,23,Urban,Fog,44,40,0,0,0
129,9,Urban,Clear,72,40,0,0,0
130,7,Highway,Clear,45,100,0,0,0
131,8,Urban,Clear,79,40,0,0,0
132,12,Rural,Clear,21,60,0,0,0
133,2,Urban,Clear,20,40,0,0,0
134,14,Rural,Clear,38,60,0,0,0
135,5,Rural,Clear,49,60,0,0,0
136,22,Rural,Fog,35,60,0,0,0
137,2,Rural,Rain,33,60,0,0,0
138,3,Highway,Rain,30,100,1,1,1
139,20,Urban,Rain,32,40,0,0,0
140,2,Urban,Clear,47,40,0,0,0
141,12,Urban,Snow,26,40,0,0,0
142,13,Rural,Fog,39,60,0,0,0
143,22,Rural,Clear,39,60,0,0,0
144,16,Rural,Rain,39,60,0,0,0
145,22,Rural,Rain,33,60,0,0,0
146,22,Highway,Clear,57,100,0,0,0
147,7,Urban,Rain,35,40,0,0,0
148,3,Rural,Clear,38,60,0,0,0
149,11,Urban,Fog,29,40,0,0,0
150,5,Urban,Rain,32,40,0,0,0
151,9,Urban,Clear,66,40,0,0,0
152,0,Highway,Rain,58,100,1,1,1
153,13,Rural,Clear,37,60,0,0,0
154,16,Rural,Fog,31,60,0,0,0
155,6,Urban,Rain,37,40,0,0,0
156,5,Urban,Clear,24,40,0,0,0
157,7,Highway,Clear,44,100,0,0,0
158,14,Urban,Rain,31,40,0,0,0
159,23,Rural,Rain,27,60,0,0,0
160,6,Urban,Clear,35,40,0,0,0
161,4,Highway,Clear,56,100,0,0,0
162,1,Urban,Clear,26,40,0,0,0
163,5,Urban,Snow,38,40,0,0,0
164,7,Rural,Fog,33,60,0,0,0
165,1,Rural,Clear,40,60,0,0,0
166,12,Highway,Clear,56,100,0,0,0
167,18,Rural,Rain,67,60,0,0,0
168,13,Highway,Clear,32,100,0,0,0
169,9,Rural,Clear,74,60,0,0,0
170,10,Urban,Snow,77,40,0,0,0
171,7,Urban,Clear,37,40,0,0,0
172,17,Highway,Fog,84,100,0,0,0
173,11,Rural,Rain,23,60,0,0,0
174,14,Highway,Rain,43,100,0,0,0
175,3,Rural,Rain,37,60,0,0,0
176,9,Highway,Fog,70,100,0,0,0
177,23,Urban,Rain,28,40,0,0,0
178,5,Urban,Clear,20,40,0,0,0
179,9,Highway,Rain,75,100,0,0,0
180,14,Highway,Clear,52,100,0,0,0
181,6,Rural,Rain,45,60,0,0,0
182,1,Rural,Rain,37,60,0,0,0
183,22,Rural,Fog,36,60,0,0,0
184,13,Highway,Rain,44,100,0,0,0
185,20,Urban,Clear,36,40,0,0,0
186,16,Highway,Rain,45,100,0,0,0
187,23,Urban,Clear,46,40,0,0,0
188,19,Highway,Clear,78,100,0,0,0
189,20,Urban,Rain,38,40,0,0,0
190,15,Urban,Clear,25,40,0,0,0
191,0,Urban,Rain,38,40,0,0,0
192,17,Urban,Clear,68,40,0,0,0
193,3,Urban,Clear,47,40,0,0,0
194,11,Rural,Clear,29,60,0,0,0
195,9,Highway,Rain,94,100,0,0,0
196,23,Urban,Rain,44,40,0,0,0
197,15,Highway,Clear,41,100,0,0,0
198,18,Highway,Clear,87,100,0,0,0
199,4,Urban,Clear,43,40,0,0,0
200,3,Rural,Rain,32,60,0,0,0
201,12,Highway,Clear,32,100,0,0,0
202,8,Urban,Rain,69,40,0,0,0
203,4,Highway,Clear,39,100,1,1,1
204,5,Rural,Clear,22,60,0,0,0
205,20,Rural,Clear,48,60,0,0,0
206,17,Rural,Clear,82,60,0,0,0
207,11,Rural,Clear,30,60,0,0,0
208,3,Highway,Clear,54,100,1,1,1
209,21,Highway,Rain,49,100,1,1,1
210,6,Highway,Rain,46,100,0,0,0
211,6,Rural,Clear,43,60,0,0,0
212,13,Urban,Clear,44,40,0,0,0
213,11,Rural,Clear,35,60,0,0,0
214,11,Highway,Clear,49,100,0,0,0
215,20,Rural,Clear,48,60,0,0,0
216,5,Highway,Clear,44,100,0,0,0
217,23,Rural,Clear,47,60,0,0,0
218,23,Highway,Snow,44,100,1,1,1
219,1,Highway,Clear,51,100,1,1,1
220,17,Highway,Clear,92,100,0,0,0
221,5,Rural,Rain,50,60,0,0,0
222,22,Urban,Clear,32,40,0,0,0
223,12,Rural,Clear,34,60,0,0,0
224,9,Urban,Clear,75,40,0,0,0
225,5,Rural,Clear,44,60,0,0,0
226,21,Rural,Clear,39,60,0,0,0
227,0,Urban,Fog,30,40,0,0,0
228,10,Rural,Clear,60,60,0,0,0
229,12,Urban,Clear,26,40,0,0,0
230,15,Highway,Clear,38,100,0,0,0
231,14,Highway,Clear,45,100,0,0,0
232,23,Highway,Fog,51,100,1,1,1
233,7,Urban,Clear,49,40,0,0,0
234,22,Urban,Clear,31,40,0,0,0
235,23,Highway,Rain,35,100,1,1,1
236,0,Urban,Rain,22,40,0,0,0
237,11,Urban,Clear,42,40,0,0,0
238,0,Highway,Clear,58,100,0,0,0
239,9,Rural,Clear,67,60,0,0,0
240,8,Highway,Clear,88,100,0,0,0
241,7,Highway,Clear,32,100,0,0,0
242,21,Rural,Clear,28,60,0,0,0
243,22,Highway,Rain,48,100,1,1,1
244,5,Urban,Clear,49,40,0,0,0
245,14,Urban,Clear,24,40,0,0,0
246,14,Highway,Clear,50,100,0,0,0
247,10,Urban,Clear,87,40,0,0,0
248,21,Urban,Fog,34,40,0,0,0
249,13,Urban,Fog,25,40,0,0,0
250,22,Rural,Rain,36,60,0,0,0
251,7,Highway,Clear,49,100,0,0,0
252,11,Highway,Clear,56,100,0,0,0
253,0,Rural,Clear,21,60,0,0,0
254,1,Highway,Clear,60,100,1,1,1
255,3,Rural,Clear,44,60,0,0,0
256,3,Rural,Clear,34,60,0,0,0
257,11,Urban,Rain,32,40,0,0,0
258,14,Rural,Clear,31,60,0,0,0
259,21,Highway,Clear,50,100,0,0,0
260,21,Rural,Rain,31,60,0,0,0
261,6,Highway,Clear,55,100,0,0,0
262,1,Highway,Clear,30,100,1,1,1
263,12,Urban,Clear,37,40,0,0,0
264,0,Rural,Clear,42,60,0,0,0
265,18,Urban,Clear,71,40,0,0,0
266,4,Highway,Clear,33,100,0,0,0
267,20,Urban,Clear,24,40,0,0,0
268,7,Urban,Clear,45,40,0,0,0
269,7,Highway,Clear,41,100,0,0,0
270,18,Rural,Clear,68,60,0,0,0
271,2,Urban,Snow,31,40,0,0,0
272,14,Rural,Clear,44,60,0,0,0
273,17,Urban,Rain,63,40,0,0,0
274,7,Urban,Clear,23,40,0,0,0
275,6,Highway,Clear,44,100,0,0,0
276,10,Urban,Clear,77,40,0,0,0
277,5,Urban,Clear,38,40,0,0,0
278,17,Rural,Clear,79,60,0,0,0
279,20,Urban,Rain,29,40,0,0,0
280,14,Rural,Clear,50,60,0,0,0
281,6,Urban,Clear,27,40,0,0,0
282,15,Highway,Clear,39,100,0,0,0
283,0,Urban,Clear,42,40,0,0,0
284,0,Urban,Clear,48,40,0,0,0
285,10,Urban,Rain,86,40,0,0,0
286,18,Rural,Clear,86,60,0,0,0
287,14,Highway,Fog,58,100,0,0,0
288,22,Urban,Clear,21,40,0,0,0
289,4,Urban,Rain,31,40,0,0,0
290,21,Highway,Clear,55,100,0,0,0
291,19,Rural,Clear,84,60,0,0,0
292,17,Urban,Clear,76,40,0,0,0
293,17,Highway,Clear,99,100,0,0,0
294,13,Highway,Clear,39,100,0,0,0
295,18,Highway,Rain,98,100,0,0,0
296,13,Rural,Clear,22,60,0,0,0
297,9,Rural,Clear,87,60,0,0,0
298,23,Highway,Clear,53,100,1,1,1
299,0,Rural,Rain,46,60,0,0,0
300,7,Highway,Clear,52,100,0,0,0
301,8,Rural,Clear,71,60,0,0,0
302,0,Urban,Clear,38,40,0,0,0
303,8,Rural,Rain,68,60,0,0,0
304,21,Urban,Clear,31,40,0,0,0
305,9,Rural,Clear,81,60,0,0,0
306,0,Urban,Clear,28,40,0,0,0
307,3,Urban,Fog,47,40,0,0,0
308,13,Urban,Rain,47,40,0,0,0
309,7,Rural,Clear,24,60,0,0,0
310,14,Highway,Clear,39,100,0,0,0
311,11,Rural,Rain,25,60,0,0,0
312,18,Rural,Clear,79,60,0,0,0
313,12,Rural,Fog,22,60,0,0,0
314,5,Highway,Rain,54,100,0,0,0
315,16,Rural,Rain,43,60,0,0,0
316,8,Highway,Clear,72,100,0,0,0
317,15,Highway,Rain,31,100,1,1,1
318,22,Highway,Rain,37,100,1,1,1
319,20,Rural,Clear,30,60,0,0,0
320,23,Urban,Clear,44,40,0,0,0
321,0,Rural,Clear,50,60,0,0,0
322,21,Urban,Fog,23,40,0,0,0
323,5,Rural,Rain,35,60,0,0,0
324,19,Rural,Clear,80,60,0,0,0
325,8,Urban,Clear,63,40,0,0,0
326,22,Highway,Rain,31,100,1,1,1
327,7,Rural,Clear,23,60,0,0,0
328,11,Highway,Clear,33,100,0,0,0
329,10,Highway,Clear,74,100,0,0,0
330,23,Urban,Rain,37,40,0,0,0
331,17,Rural,Clear,66,60,0,0,0
332,4,Highway,Clear,59,100,1,1,1
333,8,Rural,Clear,88,60,0,0,0
334,23,Rural,Clear,31,60,0,0,0
335,5,Rural,Clear,30,60,0,0,0
336,22,Highway,Clear,53,100,1,1,1
337,17,Rural,Fog,85,60,0,0,0
338,23,Highway,Clear,58,100,0,0,0
339,14,Highway,Rain,55,100,0,0,0
340,16,Rural,Fog,34,60,0,0,0
341,16,Urban,Clear,26,40,0,0,0
342,3,Urban,Rain,43,40,0,0,0
343,2,Urban,Clear,23,40,0,0,0
344,12,Highway,Clear,42,100,0,0,0
345,11,Highway,Rain,37,100,0,0,0
346,22,Highway,Clear,49,100,1,1,1
347,6,Rural,Fog,35,60,0,0,0
348,16,Urban,Clear,39,40,0,0,0
349,11,Rural,Clear,29,60,0,0,0
350,8,Rural,Rain,90,60,0,0,0
351,15,Highway,Snow,36,100,0,0,0
352,9,Urban,Clear,71,40,0,0,0
353,19,Urban,Rain,82,40,0,0,0
354,10,Highway,Clear,84,100,0,0,0
355,18,Highway,Rain,93,100,0,0,0
356,10,Rural,Clear,69,60,0,0,0
357,9,Urban,Fog,69,40,0,0,0
358,17,Urban,Snow,76,40,0,0,0
359,2,Urban,Fog,28,40,0,0,0
360,8,Urban,Rain,63,40,0,0,0
361,3,Urban,Clear,26,40,0,0,0
362,1,Highway,Clear,36,100,1,1,1
363,7,Highway,Clear,32,100,0,0,0
364,22,Highway,Rain,56,100,1,1,1
365,1,Rural,Rain,36,60,0,0,0
366,10,Rural,Snow,85,60,0,0,0
367,5,Highway,Clear,39,100,0,0,0
368,10,Highway,Clear,85,100,0,0,0
369,2,Urban,Clear,34,40,0,0,0
370,6,Highway,Clear,37,100,0,0,0
371,19,Rural,Clear,77,60,0,0,0
372,7,Highway,Clear,43,100,0,0,0
373,0,Urban,Rain,36,40,0,0,0
374,2,Urban,Clear,43,40,0,0,0
375,5,Highway,Clear,32,100,0,0,0
376,16,Rural,Clear,36,60,0,0,0
377,15,Rural,Rain,29,60,0,0,0
378,12,Urban,Clear,27,40,0,0,0
379,8,Rural,Clear,68,60,0,0,0
380,19,Urban,Rain,90,40,0,0,0
381,1,Highway,Clear,34,100,0,0,0
382,10,Rural,Rain,68,60,0,0,0
383,20,Highway,Clear,46,100,0,0,0
384,13,Urban,Clear,44,40,0,0,0
385,8,Rural,Clear,86,60,0,0,0
386,14,Rural,Fog,22,60,0,0,0
387,15,Rural,Clear,47,60,0,0,0
388,19,Urban,Clear,64,40,0,0,0
389,1,Urban,Fog,43,40,0,0,0
390,14,Urban,Clear,46,40,0,0,0
391,17,Rural,Clear,90,60,0,0,0
392,15,Urban,Rain,40,40,0,0,0
393,4,Highway,Clear,30,100,0,0,0
394,15,Highway,Rain,42,100,1,1,1
395,19,Rural,Rain,72,60,0,0,0
396,8,Urban,Clear,80,40,0,0,0
397,0,Rural,Rain,22,60,0,0,0
398,10,Rural,Clear,73,60,0,0,0
399,14,Urban,Clear,48,40,0,0,0
400,7,Rural,Clear,36,60,0,0,0
401,15,Urban,Rain,43,40,0,0,0
402,6,Rural,Clear,47,60,0,0,0
403,9,Urban,Rain,85,40,0,0,0
404,23,Urban,Clear,44,40,0,0,0
405,22,Highway,Clear,39,100,0,0,0
406,7,Highway,Clear,60,100,0,0,0
407,1,Rural,Clear,50,60,0,0,0
408,2,Highway,Clear,54,100,0,0,0
409,5,Highway,Rain,31,100,0,0,0
410,7,Urban,Rain,33,40,0,0,0
411,19,Rural,Clear,68,60,0,0,0
412,8,Highway,Clear,97,100,0,0,0
413,0,Rural,Clear,42,60,0,0,0
414,22,Highway,Clear,42,100,0,0,0
415,5,Urban,Clear,22,40,0,0,0
416,14,Urban,Clear,41,40,0,0,0
417,12,Rural,Fog,21,60,0,0,0
418,19,Urban,Snow,78,40,0,0,0
419,22,Rural,Clear,28,60,0,0,0
420,15,Highway,Clear,58,100,0,0,0
421,14,Highway,Clear,36,100,0,0,0
422,19,Highway,Rain,78,100,0,0,0
423,16,Highway,Clear,34,100,0,0,0
424,0,Urban,Snow,38,40,0,0,0
425,22,Rural,Clear,45,60,0,0,0
426,12,Urban,Rain,39,40,0,0,0
427,9,Rural,Rain,75,60,0,0,0
428,22,Rural,Clear,34,60,0,0,0
429,8,Rural,Snow,63,60,0,0,0
430,2,Urban,Clear,47,40,0,0,0
431,6,Urban,Rain,49,40,0,0,0
432,22,Rural,Rain,35,60,0,0,0
433,3,Highway,Snow,58,100,0,1,1
434,12,Urban,Rain,47,40,0,0,0
435,3,Urban,Clear,31,40,0,0,0
436,16,Rural,Rain,42,60,0,0,0
437,9,Highway,Rain,78,100,0,0,0
438,6,Highway,Rain,51,100,0,0,0
439,18,Highway,Clear,98,100,0,0,0
440,3,Rural,Clear,45,60,0,0,0
441,13,Urban,Snow,32,40,0,0,0
442,3,Highway,Clear,48,100,1,1,1
443,23,Rural,Clear,26,60,0,0,0
444,13,Rural,Clear,22,60,0,0,0
445,18,Urban,Rain,60,40,0,0,0
446,19,Rural,Clear,69,60,0,0,0
447,4,Rural,Snow,38,60,0,0,0
448,15,Urban,Clear,31,40,0,0,0
449,1,Urban,Rain,21,40,0,0,0
450,10,Rural,Rain,82,60,0,0,0
451,15,Urban,Snow,42,40,0,0,0
452,20,Highway,Clear,36,100,0,0,0
453,19,Highway,Clear,73,100,0,0,0
454,13,Urban,Snow,26,40,0,0,0
455,3,Rural,Clear,23,60,0,0,0
456,5,Urban,Snow,43,40,0,0,0
457,16,Highway,Rain,38,100,0,0,0
458,6,Highway,Clear,57,100,0,0,0
459,0,Highway,Fog,50,100,1,1,1
460,13,Urban,Fog,42,40,0,0,0
461,14,Highway,Rain,53,100,0,0,0
462,6,Urban,Fog,43,40,0,0,0
463,12,Urban,Clear,34,40,0,0,0
464,22,Urban,Clear,29,40,0,0,0
465,15,Rural,Clear,24,60,0,0,0
466,1,Urban,Rain,33,40,0,0,0
467,22,Urban,Clear,24,40,0,0,0
468,5,Rural,Clear,32,60,0,0,0
469,5,Highway,Clear,52,100,0,0,0
470,2,Highway,Clear,36,100,0,0,0
471,23,Urban,Clear,44,40,0,0,0
472,21,Urban,Clear,22,40,0,0,0
473,16,Urban,Clear,24,40,0,0,0
474,18,Rural,Clear,70,60,0,0,0
475,19,Rural,Clear,64,60,0,0,0
476,4,Rural,Rain,29,60,0,0,0
477,2,Rural,Clear,46,60,0,0,0
478,22,Highway,Fog,53,100,1,1,1
479,10,Highway,Clear,100,100,0,0,0
480,0,Urban,Clear,31,40,0,0,0
481,14,Urban,Rain,46,40,0,0,0
482,10,Urban,Clear,88,40,0,0,0
483,3,Urban,Clear,25,40,0,0,0
484,2,Highway,Snow,38,100,1,1,1
485,16,Highway,Clear,32,100,0,0,0
486,22,Urban,Rain,40,40,0,0,0
487,20,Highway,Snow,41,100,1,1,1
488,3,Rural,Clear,39,60,0,0,0
489,4,Rural,Rain,35,60,0,0,0
490,20,Urban,Rain,43,40,0,0,0
491,0,Highway,Clear,44,100,1,1,1
492,17,Urban,Clear,81,40,0,0,0
493,2,Highway,Fog,36,100,1,1,1
494,3,Rural,Clear,42,60,0,0,0
495,12,Rural,Clear,38,60,0,0,0
496,15,Rural,Rain,20,60,0,0,0
497,3,Urban,Clear,28,40,0,0,0
498,22,Rural,Rain,25,60,0,0,0
499,22,Highway,Clear,51,100,0,0,0
500,13,Urban,Clear,24,40,0,0,0
501,21,Highway,Rain,47,100,1,1,1
502,11,Urban,Rain,45,40,0,0,0
503,14,Urban,Clear,41,40,0,0,0
504,14,Rural,Clear,42,60,0,0,0
505,7,Highway,Clear,49,100,0,0,0
506,2,Rural,Rain,32,60,0,0,0
507,9,Highway,Fog,83,100,0,0,0
508,12,Urban,Rain,39,40,0,0,0
509,9,Highway,Clear,83,100,0,0,0
510,0,Urban,Rain,38,40,0,0,0
511,23,Rural,Rain,49,60,0,0,0
512,17,Highway,Clear,79,100,0,0,0
513,18,Highway,Clear,83,100,0,0,0
514,9,Rural,Clear,89,60,0,0,0
515,10,Urban,Clear,88,40,0,0,0
516,0,Urban,Clear,30,40,0,0,0
517,10,Urban,Clear,76,40,0,0,0
518,23,Rural,Clear,27,60,0,0,0
519,19,Urban,Clear,72,40,0,0,0
520,7,Rural,Clear,37,60,0,0,0
521,14,Rural,Clear,35,60,0,0,0
522,3,Highway,Snow,48,100,1,1,1
523,14,Urban,Clear,37,40,0,0,0
524,3,Highway,Clear,50,100,0,0,0
525,23,Highway,Clear,37,100,1,1,1
526,17,Rural,Clear,60,60,0,0,0
527,19,Urban,Clear,74,40,0,0,0
528,6,Urban,Rain,41,40,0,0,0
529,1,Highway,Snow,58,100,1,1,1
530,8,Rural,Rain,70,60,0,0,0
531,12,Rural,Clear,42,60,0,0,0
532,15,Highway,Rain,52,100,0,0,0
533,17,Rural,Clear,88,60,0,0,0
534,8,Urban,Clear,66,40,0,0,0
535,12,Rural,Clear,38,60,0,0,0
536,17,Urban,Clear,65,40,0,0,0
537,2,Urban,Clear,21,40,0,0,0
538,11,Urban,Clear,21,40,0,0,0
539,16,Urban,Rain,42,40,0,0,0
540,19,Urban,Clear,86,40,0,0,0
541,14,Highway,Fog,32,100,1,1,1
542,9,Urban,Clear,85,40,0,0,0
543,4,Urban,Fog,21,40,0,0,0
544,3,Rural,Clear,28,60,0,0,0
545,6,Urban,Clear,30,40,0,0,0
546,11,Rural,Clear,36,60,0,0,0
547,21,Urban,Clear,47,40,0,0,0
548,22,Rural,Clear,39,60,0,0,0
549,12,Rural,Clear,40,60,0,0,0
550,13,Highway,Clear,55,100,0,0,0
551,7,Rural,Fog,29,60,0,0,0
552,7,Rural,Rain,34,60,0,0,0
553,15,Highway,Clear,59,100,0,0,0
554,1,Highway,Rain,33,100,1,1,1
555,12,Highway,Rain,44,100,0,0,0
556,11,Highway,Clear,34,100,0,0,0
557,10,Highway,Rain,100,100,0,0,0
558,11,Urban,Clear,22,40,0,0,0
559,15,Rural,Snow,41,60,0,0,0
560,9,Rural,Rain,86,60,0,0,0
561,8,Rural,Clear,66,60,0,0,0
562,6,Highway,Rain,31,100,0,0,0
563,1,Urban,Clear,24,40,0,0,0
564,1,Highway,Clear,39,100,0,0,0
565,10,Rural,Clear,60,60,0,0,0
566,1,Rural,Rain,49,60,0,0,0
567,15,Urban,Clear,46,40,0,0,0
568,10,Urban,Clear,83,40,0,0,0
569,1,Rural,Clear,33,60,0,0,0
570,8,Rural,Rain,71,60,0,0,0
571,23,Urban,Clear,31,40,0,0,0
572,8,Urban,Clear,60,40,0,0,0
573,10,Urban,Rain,89,40,0,0,0
574,14,Rural,Clear,23,60,0,0,0
575,23,Urban,Clear,29,40,0,0,0
576,9,Highway,Rain,77,100,0,0,0
577,3,Highway,Clear,41,100,0,0,0
578,19,Urban,Rain,85,40,0,0,0
579,4,Highway,Clear,30,100,0,0,0
580,0,Highway,Clear,45,100,1,1,1
581,11,Urban,Fog,31,40,0,0,0
582,16,Rural,Fog,37,60,0,0,0
583,13,Rural,Rain,43,60,0,0,0
584,15,Highway,Rain,44,100,0,0,0
585,4,Highway,Clear,49,100,1,1,1
586,2,Rural,Rain,37,60,0,0,0
587,5,Rural,Clear,23,60,0,0,0
588,19,Rural,Clear,77,60,0,0,0
589,15,Urban,Clear,44,40,0,0,0
590,19,Urban,Rain,70,40,0,0,0
591,4,Rural,Clear,49,60,0,0,0
592,18,Highway,Clear,98,100,0,0,0
593,16,Highway,Clear,44,100,0,0,0
594,7,Highway,Rain,47,100,0,1,1
595,11,Urban,Rain,23,40,0,0,0
596,15,Urban,Rain,42,40,0,0,0
597,3,Urban,Clear,35,40,0,0,0
598,15,Highway,Fog,35,100,0,0,0
599,18,Rural,Rain,83,60,0,0,0
600,13,Rural,Clear,28,60,0,0,0
601,5,Highway,Clear,52,100,0,0,0
602,0,Highway,Rain,51,100,1,1,1
603,12,Highway,Clear,32,100,0,0,0
604,6,Rural,Clear,24,60,0,0,0
605,22,Urban,Fog,24,40,0,0,0
606,14,Highway,Clear,42,100,0,0,0
607,21,Urban,Clear,32,40,0,0,0
608,3,Rural,Clear,45,60,0,0,0
609,15,Highway,Clear,56,100,0,0,0
610,13,Urban,Clear,39,40,0,0,0
611,14,Highway,Clear,42,100,0,0,0
612,0,Rural,Clear,34,60,0,0,0
613,2,Rural,Clear,32,60,0,0,0
614,1,Highway,Clear,47,100,0,0,0
615,14,Urban,Clear,46,40,0,0,0
616,14,Urban,Clear,30,40,0,0,0
617,8,Highway,Clear,81,100,0,0,0
618,13,Highway,Snow,41,100,1,1,1
619,23,Urban,Fog,47,40,0,0,0
620,18,Rural,Clear,69,60,0,0,0
621,19,Rural,Clear,79,60,0,0,0
622,3,Rural,Clear,42,60,0,0,0
623,7,Rural,Clear,35,60,0,0,0
624,8,Highway,Clear,75,100,0,0,0
625,7,Urban,Rain,33,40,0,0,0
626,9,Highway,Clear,78,100,0,0,0
627,9,Urban,Rain,70,40,0,0,0
628,2,Rural,Clear,44,60,0,0,0
629,1,Urban,Clear,43,40,0,0,0
